run_name,method,env,seed,budget,wall_clock_h,wall_clock_min,cpu_h,gpu_h,peak_ram_gb
Hopper-v5__prefppo_duo_prio__677630646__1753608327,DUO,unknown,677630646,,0.5376730834738889,32.26038500843333,0.03292797779411563,0.06291678389098335,1.53985595703125
Hopper-v5__prefppo_duo_prio__403021432__1753608327,DUO,unknown,403021432,,0.5460024019147223,32.76014411488334,0.033404309178346164,0.05924994292070555,1.5399589538574219
Hopper-v5__prefppo_duo_prio__27474278__1753608328,DUO,unknown,27474278,,0.5501468187066666,33.008809122399995,0.03353802879669877,0.06462482603395554,1.5382041931152344
Hopper-v5__prefppo_duo_prio__422600776__1753608327,DUO,unknown,422600776,,0.5501520145586111,33.009120873516665,0.0336825179819873,0.06191642096779444,1.6120109558105469
Hopper-v5__prefppo_duo_prio__406989952__1753608329,DUO,unknown,406989952,,0.5459720113986112,32.75832068391667,0.03327027195111834,0.06408331106316388,1.5393600463867188
Hopper-v5__prefppo_variquery_v3__406989952__1753708363,VARIQuery,unknown,406989952,,0.6751665983536111,40.50999590121667,0.04307840783481617,0.11645781730316107,1.8997001647949219
Hopper-v5__prefppo_variquery_v3__1949773967__1753708363,VARIQuery,unknown,1949773967,,0.6793282543722222,40.75969526233333,0.04470731688593434,0.11949957298798615,1.9021339416503906
Hopper-v5__prefppo_variquery_v3__403021432__1753708363,VARIQuery,unknown,403021432,,0.6793168893294443,40.75901335976666,0.04477508311231757,0.11524990678499168,1.9133682250976562
Hopper-v5__prefppo_variquery_v3__27474278__1753708363,VARIQuery,unknown,27474278,,0.6751501629233333,40.509009775399996,0.04435528071161932,0.09699934519380002,1.9031257629394531
Hopper-v5__prefppo_variquery_v3__57898117__1753708363,VARIQuery,unknown,57898117,,0.6834841576552777,41.009049459316664,0.04481959015367587,0.12274840048024992,1.9155426025390625
Hopper-v5__prefppo_variquery_v3__422600776__1753708363,VARIQuery,unknown,422600776,,0.6834974136491667,41.00984481895,0.044900738624116435,0.08345825633513057,1.902099609375
Hopper-v5__prefppo_variquery_v3__677630646__1753708362,VARIQuery,unknown,677630646,,0.6918193820944445,41.50916292566667,0.04543637583961046,0.11129163328123334,1.9004745483398438
Hopper-v5__prefppo_variquery_v3__109214983__1753708364,VARIQuery,unknown,109214983,,0.6835262604777778,41.01157562866666,0.04466536158990144,0.0944585002874972,1.9046211242675781
Hopper-v5__prefppo_variquery_v3__2001339610__1753708363,VARIQuery,unknown,2001339610,,0.6876576110733333,41.2594566644,0.04523998485383318,0.10616625714584718,1.9029808044433594
Hopper-v5__prefppo_variquery_v3__1441960350__1753709098,VARIQuery,unknown,1441960350,,0.6834960722919445,41.00976433751667,0.04487896052853553,0.11979181696235842,1.9005317687988281
Hopper-v5__prefppo_hybrid_v3__403021432__1753794536,Hybrid,unknown,403021432,,0.6793244508666666,40.759467052,0.04041417343074937,0.11912492061507218,1.7774772644042969
Hopper-v5__prefppo_hybrid_v3__2001339610__1753794540,Hybrid,unknown,2001339610,,0.6798136459988888,40.78881875993333,0.04024811502066143,0.12570824850930556,1.7809715270996094
Hopper-v5__prefppo_hybrid_v3__109214983__1753794546,Hybrid,unknown,109214983,,0.6876855811244444,41.261134867466666,0.04070509991836657,0.11116692388585829,1.7805404663085938
Hopper-v5__prefppo_hybrid_v3__1441960350__1753794556,Hybrid,unknown,1441960350,,0.666840288065,40.0104172839,0.039391397809463324,0.12945790025448056,1.7814826965332031
Hopper-v5__prefppo_hybrid_v3__57898117__1753794645,Hybrid,unknown,57898117,,0.6793562167366666,40.761373004199996,0.04037457385910931,0.12383310184181105,1.7808265686035156
Hopper-v5__prefppo_hybrid_v3__1949773967__1753794930,Hybrid,unknown,1949773967,,0.675574100775,40.5344460465,0.03971118460194478,0.13683315994377224,1.8518714904785156
Hopper-v5__prefppo_hybrid_v3__677630646__1753795000,Hybrid,unknown,677630646,,0.6752260691880556,40.51356415128333,0.04068496391554011,0.1365418004162972,1.7812576293945312
Hopper-v5__prefppo_hybrid_v3__422600776__1753797014,Hybrid,unknown,422600776,,0.6668390231130555,40.01034138678333,0.04045145452755874,0.12912435840541664,1.7813491821289062
Hopper-v5__prefppo_hybrid_v3__406989952__1753797018,Hybrid,unknown,406989952,,0.6585433003691668,39.51259802215,0.03990861958643435,0.13075024504243893,1.7799224853515625
Hopper-v5__prefppo_hybrid_v3__27474278__1753797052,Hybrid,unknown,27474278,,0.6751931130705556,40.51158678423334,0.040900930397091896,0.10170875837575832,1.7808113098144531
